ArticleID;idProduct;Name;ExpansionCode;SetCode;CollectorNumber;Expansion;Rarity;Language;Condition;ConditionFull;ReverseHolo;Comments;_OriginalComments;Price_EUR;_OriginalPrice_EUR;Amount;Total_EUR;ProductUrl;ImageUrl;delete
"=""2101745865""";"=""20885""";"Angelo della Filigrana";"";"";"";"Alara Reborn";"Rare";"";"NM";"Near Mint";"N";"";"";"0,30";"0,30";"1";"0,30";"https://www.cardmarket.com/it/Magic/Products/Singles/Alara-Reborn/Filigree-Angel";"https://product-images.s3.cardmarket.com/1/ARB/20885/20885.jpg";"N"
"=""2102891767""";"=""20969""";"Drago Incantato";"";"";"";"Alara Reborn";"Rare";"";"NM";"Near Mint";"N";"";"";"0,30";"0,30";"1";"0,30";"https://www.cardmarket.com/it/Magic/Products/Singles/Alara-Reborn/Spellbound-Dragon";"https://product-images.s3.cardmarket.com/1/ARB/20969/20969.jpg";"N"
"=""2101828336""";"=""20982""";"Saggi dell'Anima";"";"";"";"Alara Reborn";"Rare";"";"NM";"Near Mint";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/it/Magic/Products/Singles/Alara-Reborn/Sages-of-the-Anima";"https://product-images.s3.cardmarket.com/1/ARB/20982/20982.jpg";"N"
